131;2-Ethyl butanoic acid;C6H12O2;88-09-5;116.158;-12.24;1836.4;0.021868;;;258.15;6.705E-03;466.95;2.822E-04
132;Ethyl butyrate;C6H12O2;105-54-4;116.158;-15.485;1325.6;0.6432;;;250.00;1.319E-03;394.65;2.533E-04
133;Ethylcyclohexane;C8H16;1678-91-7;112.213;-22.11;1673;1.641;;;200.00;6.406E-03;404.94;2.956E-04
134;Ethylcyclopentane;C7H14;1640-89-7;98.186;-6.894;818.6;-0.5941;;;253.15;9.605E-04;378.15;2.599E-04
135;Ethylene;C2H4;74-85-1;28.053;1.8878;78.865;-2.1554;;;104.00;6.334E-04;250.00;6.143E-05
136;Ethylenediamine;C2H8N2;107-15-3;60.098;-53.908;4030.8;5.9704;;;284.29;2.487E-03;483.15;1.723E-04
137;Ethylene glycol;C2H6O2;107-21-1;62.068;-20.515;2468.5;1.2435;2.4998E+12;-5;260.15;1.340E-01;576.00;2.520E-04
138;Ethyleneimine;C2H5N;151-56-4;43.068;-11.012;967.4;;;;250.00;7.909E-04;329.00;3.123E-04
139;Ethylene oxide;C2H4O;75-21-8;44.053;-8.521;634.2;-0.3314;;;160.65;1.918E-03;283.85;2.863E-04
140;Ethyl formate;C3H6O2;109-94-4;74.079;-9.8417;876.4;-0.1708;;;245.00;7.435E-04;345.00;2.486E-04
141;2-Ethyl hexanoic acid;C8H16O2;149-57-5;144.211;-13.037;2346;;;;235.00;4.717E-02;510.10;2.165E-04
142;Ethylhexyl ether;C8H18O;5756-43-4;130.228;-11.311;1337.2;-0.02982;;;180.00;1.765E-02;417.15;2.522E-04
143;Ethylisopropyl ether;C5H12O;625-54-7;88.148;-11.331;908.46;0.00042478;;;140.00;7.908E-03;326.15;1.949E-04
144;Ethylisopropyl ketone;C6H12O;565-69-5;100.159;-11.452;1172.7;-0.00010095;;;204.15;3.319E-03;386.55;2.207E-04
145;Ethyl mercaptan;C2H6S;75-08-1;62.134;-9.7574;729.43;-0.14912;;;125.26;9.520E-03;308.15;2.626E-04
146;Ethyl propionate;C5H10O2;105-37-3;102.132;-8.9215;950.8;-0.32687;;;250.00;9.848E-04;372.25;2.480E-04
147;Ethylpropyl ether;C5H12O;628-32-0;88.148;0.7109;386.51;-1.7754;;;200.00;1.156E-03;337.01;2.086E-04
148;Ethyltrichlorosilane;C2H5Cl3Si;115-21-9;163.506;7.8744;-106.34;-2.6884;4.2757E+13;-6;167.55;1.010E-02;447.96;1.550E-04
149;Fluorine;F2;7782-41-4;37.997;8.18;-75.6;-3.5148;;;53.48;7.317E-04;140.00;5.954E-05
150;Fluorobenzene;C6H5F;462-06-6;96.102;-10.064;1058.7;-0.17162;;;232.15;1.599E-03;453.15;1.542E-04
151;Fluoroethane;C2H5F;353-36-6;48.060;-10.758;558.81;-0.016459;;;129.95;1.448E-03;235.45;2.087E-04
152;Fluoromethane;CH3F;593-53-3;34.033;-10.501;427.78;0.0086309;;;131.35;7.450E-04;194.82;2.587E-04
153;Formaldehyde;CH2O;50-00-0;30.026;-11.24;751.69;-0.024579;;;181.15;7.331E-04;254.05;2.210E-04
154;Formamide;CH3NO;75-12-7;45.041;40.153;-912.39;-7.5664;1.6873E+24;-10;273.15;7.408E-03;493.00;1.821E-04
155;Formic acid;CH2O2;64-18-6;46.026;-48.529;3394.7;5.3903;;;281.45;2.319E-03;373.71;5.444E-04
156;Furan;C4H4O;110-00-9;68.074;-10.923;894.63;-0.00068418;;;200.00;1.575E-03;304.50;3.392E-04
